600017.SH,2015,0.6342,0.5503,-0.02,23.5891,0.3742,1.3012,0.03,0.5832,2.1972,8.5073,28.1981,1.0
600017.SH,2017,0.5569,0.2286,-0.02,23.7112,0.4225,1.0869,0.0351,0.5903,2.3979,2.4415,28.3887,1.0
600018.SH,2012,0.5997,0.4043,-0.03,25.1452,0.3833,1.1479,0.1075,0.9046,1.7918,0.0662,28.0095,1.0
600018.SH,2013,0.6165,0.4745,-0.05,25.1904,0.3848,1.1168,0.1076,0.901,1.9459,0.7673,28.0823,1.0
600018.SH,2014,0.5193,0.0773,-0.05,25.2075,0.3697,2.1513,0.1313,0.9098,2.0794,0.5518,28.1413,1.0
600018.SH,2015,0.3925,-0.4367,-0.04,25.2695,0.3612,2.4256,0.1153,0.9086,2.1972,1.389,28.1981,1.0
600018.SH,2017,0.0214,-3.8235,0.00,25.4836,0.4157,1.7387,0.1792,0.9185,2.3979,0.4536,28.3887,1.0
600019.SH,2012,0.2952,-0.8701,-0.01,26.1661,0.509,0.7485,0.0952,0.8168,2.4849,0.3754,29.0215,1.0
600019.SH,2013,0.4686,-0.1256,0.01,26.0909,0.4526,0.7135,0.0529,0.8275,2.5649,0.3738,29.1419,1.0
600019.SH,2014,0.5375,0.1502,-0.06,26.1468,0.4703,0.5611,0.0516,0.8472,2.6391,0.739,29.2376,1.0
600019.SH,2015,0.6502,0.6200,-0.05,26.1555,0.4568,0.9296,0.009,0.8646,2.7081,2.2852,29.3287,1.0
600019.SH,2017,0.1996,-1.3889,-0.01,26.3142,0.5096,0.7948,0.1224,0.8605,2.8332,1.0001,29.5575,1.0
600020.SH,2012,0.7603,1.1546,-0.00,24.137,0.7905,0.8678,0.0791,0.6537,2.1972,0.4222,28.0095,1.0
600020.SH,2013,0.7286,0.9875,-0.02,24.1587,0.7802,0.7673,0.0573,0.6582,2.3026,0.4692,28.0823,1.0
600020.SH,2014,0.5377,0.1512,-0.00,24.2885,0.8023,0.714,0.1211,0.6551,2.3979,1.3594,28.1413,1.0
600020.SH,2015,0.6657,0.6889,0.01,24.3972,0.801,1.1636,0.1386,0.6113,2.4849,6.8749,28.1981,1.0
600020.SH,2017,0.2274,-1.2232,0.01,24.6019,0.7459,0.8212,0.0969,0.6131,2.6391,2.5653,28.3887,1.0
600021.SH,2012,0.5589,0.2365,0.01,24.1765,0.7181,1.136,0.1375,0.7745,2.1972,0.665,28.0938,1.0
600021.SH,2013,0.3004,-0.8454,0.02,24.1754,0.6817,0.9881,0.1579,0.7621,2.3026,1.1456,28.163,1.0
600021.SH,2014,0.3723,-0.5223,0.05,24.2801,0.6722,0.8641,0.1496,0.7308,2.3979,2.4874,28.2295,1.0
600021.SH,2015,0.3985,-0.4118,0.02,24.5807,0.6973,1.1662,0.1331,0.735,2.4849,7.3544,28.3018,1.0
600021.SH,2017,0.1913,-1.4413,0.02,24.7406,0.7146,1.6386,0.0698,0.3952,2.6391,1.0299,28.4807,1.0
600022.SH,2012,0.4524,-0.1912,-0.14,24.1262,0.7585,1.4837,-0.291,0.7447,2.0794,0.8929,29.0215,1.0
600022.SH,2013,0.6646,0.6839,0.03,24.6973,0.7574,1.0919,0.0122,0.7367,2.1972,0.6557,29.1419,1.0
600022.SH,2014,0.1303,-1.8980,0.09,24.6659,0.7467,0.823,-0.1136,0.7377,2.3026,1.9079,29.2376,1.0
600022.SH,2015,0.3473,-0.6310,0.01,24.5726,0.7516,1.7215,0.0046,0.7768,2.3979,4.8271,29.3287,1.0
600022.SH,2017,0.2588,-1.0523,0.11,24.7199,0.5841,0.9302,0.1132,0.568,2.5649,3.0351,29.5575,1.0
600026.SH,2012,0.7926,1.3406,0.02,24.6666,0.5282,0.7222,0.0031,0.7608,2.3026,0.4788,28.0095,1.0
600026.SH,2013,0.7256,0.9722,-0.03,24.7813,0.5785,0.5925,-0.1027,0.7608,2.3979,0.9337,28.0823,1.0
600026.SH,2014,0.4646,-0.1420,-0.01,24.7981,0.6225,0.7385,0.0146,0.7594,2.4849,1.6932,28.1413,1.0
600026.SH,2015,0.6078,0.4380,-0.03,24.9091,0.6556,1.1183,0.0078,0.6802,2.5649,6.5444,28.1981,1.0
600026.SH,2017,0.5043,0.0174,0.01,24.7841,0.5274,0.8625,0.0638,0.6494,2.7081,1.6358,28.3887,1.0
600027.SH,2012,0.5096,0.0384,0.03,25.723,0.8406,0.8113,0.0798,0.3266,1.9459,0.5953,28.0938,1.0
600027.SH,2013,0.5559,0.2244,-0.00,25.8266,0.832,0.9608,0.1972,0.2515,2.0794,1.1649,28.163,1.0
600027.SH,2014,0.5621,0.2499,0.00,25.8755,0.8059,0.6365,0.2188,0.756,2.1972,1.8845,28.2295,1.0
600027.SH,2015,0.6542,0.6377,-0.01,25.9611,0.7716,1.3686,0.21,0.7819,2.3026,4.632,28.3018,1.0
600027.SH,2017,0.2816,-0.9363,0.04,26.0709,0.7314,0.81,0.0102,0.757,2.4849,0.6985,28.4807,1.0
600028.SH,2012,0.4172,-0.3345,0.02,27.7533,0.5491,1.2034,0.128,0.9586,2.3979,0.1011,29.136,1.0
600028.SH,2013,0.3314,-0.7017,0.02,27.852,0.5586,1.0972,0.1224,0.9571,2.4849,0.1505,29.2254,1.0
600028.SH,2014,0.3706,-0.5294,0.01,27.9552,0.5493,0.8582,0.0814,0.9374,2.5649,0.3561,29.2829,1.0
600028.SH,2015,0.6578,0.6536,0.00,28.0035,0.5541,1.1248,0.0504,0.9294,2.6391,1.2624,29.3028,1.0
600028.SH,2017,0.1022,-2.1728,0.01,28.0356,0.4445,0.7717,0.0714,0.9522,2.7726,0.3025,29.3693,1.0
600029.SH,2012,0.6312,0.5374,0.04,25.5851,0.7088,1.121,0.0815,0.727,2.1972,1.1997,28.0095,1.0
600029.SH,2013,0.7766,1.2461,0.06,25.6826,0.7221,0.9173,0.0567,0.6861,2.3026,0.937,28.0823,1.0
600029.SH,2014,0.6521,0.6284,0.04,25.8301,0.7444,0.6147,0.0509,0.6585,2.3979,2.1042,28.1413,1.0
600029.SH,2015,0.5962,0.3897,0.01,25.9687,0.7666,1.0022,0.1033,0.6817,2.4849,7.0431,28.1981,1.0
600029.SH,2017,0.0166,-4.0800,0.05,26.0239,0.7271,1.0853,0.1284,0.7526,2.6391,2.4677,28.3887,1.0
600031.SH,2012,0.6273,0.5207,-0.03,24.6611,0.5955,4.5884,0.2664,0.6901,2.1972,1.037,29.0215,0.0
600031.SH,2013,0.6957,0.8270,-0.03,24.8893,0.6182,3.2672,0.1219,0.59,2.3026,1.0889,29.1419,0.0
600031.SH,2014,0.5654,0.2633,-0.04,24.8801,0.6084,1.9552,0.0295,0.5486,2.3979,1.849,29.2376,0.0
600031.SH,2015,0.6483,0.6117,-0.07,24.8666,0.6073,3.0724,0.006,0.5227,2.4849,5.8565,29.3287,0.0
600031.SH,2017,0.2640,-1.0253,-0.14,24.8432,0.619,1.9796,0.0869,0.5271,2.6391,2.2813,29.5575,0.0
600033.SH,2012,0.7359,1.0246,-0.01,23.7063,0.5626,0.7562,0.0582,0.0609,2.3979,1.155,28.0095,1.0
600033.SH,2013,0.7941,1.3496,-0.01,23.7044,0.5496,0.6894,0.0746,0.0921,2.4849,1.4512,28.0823,1.0
600033.SH,2014,0.5651,0.2618,-0.01,23.6755,0.5208,0.64,0.0792,0.5617,2.5649,2.7419,28.1413,1.0
600033.SH,2015,0.7431,1.0622,-0.04,23.6513,0.4893,1.0955,0.0696,0.5479,2.6391,6.3892,28.1981,1.0
600033.SH,2017,0.3088,-0.8059,-0.01,23.6116,0.4318,0.9303,0.0766,0.5563,2.7726,1.961,28.3887,1.0
600035.SH,2012,0.8676,1.8797,0.00,22.9782,0.6259,0.8749,0.0596,0.6634,2.0794,0.7133,28.0095,1.0
600035.SH,2013,0.4585,-0.1664,0.02,23.1921,0.6822,0.7398,0.0744,0.6528,2.1972,0.8901,28.0823,1.0
600035.SH,2014,0.5339,0.1360,0.02,23.2959,0.699,0.7183,0.0784,0.6512,2.3026,2.0696,28.1413,1.0
600035.SH,2015,0.4843,-0.0626,0.02,22.9219,0.5842,1.4576,0.1107,0.5894,2.3979,6.755,28.1981,1.0
600035.SH,2017,0.1835,-1.4927,0.02,22.9078,0.5111,2.0605,0.1031,0.6153,2.5649,1.0018,28.3887,1.0
600037.SH,2012,0.7032,0.8624,0.02,23.1318,0.5215,1.5926,0.055,0.5118,2.3979,1.5251,27.1539,1.0
600037.SH,2013,0.5813,0.3282,0.01,23.0677,0.4715,1.289,0.0669,0.4839,2.4849,3.7126,27.2219,1.0
600037.SH,2014,0.1021,-2.1743,0.01,23.0571,0.4394,1.4282,0.0944,0.532,2.5649,4.7377,27.2705,1.0
600037.SH,2015,0.7594,1.1494,0.01,23.0702,0.3978,2.4487,0.0899,0.5712,2.6391,6.1028,27.4357,1.0
600037.SH,2017,0.2093,-1.3293,0.05,23.4369,0.1587,1.6802,0.06,0.6314,2.7726,1.4867,27.4795,1.0
600038.SH,2012,0.5063,0.0253,-0.17,21.8643,0.5191,3.9038,0.0742,0.6628,2.4849,2.3197,29.0215,1.0
600038.SH,2013,0.3868,-0.4609,-0.06,22.3299,0.6798,3.9771,0.0599,0.7156,2.5649,3.7401,29.1419,1.0
600038.SH,2014,0.2971,-0.8612,-0.03,23.7549,0.7151,2.7435,0.055,0.6247,2.6391,3.9747,29.2376,1.0
600038.SH,2015,0.6333,0.5463,-0.07,23.7381,0.6964,3.5835,0.0688,0.6261,2.7081,8.4383,29.3287,1.0
600038.SH,2017,0.1594,-1.6626,-0.07,23.7102,0.6432,4.0349,0.0649,0.7565,2.8332,2.5229,29.5575,1.0
600039.SH,2012,0.2564,-1.0647,0.02,22.8663,0.819,1.2117,0.1974,0.362,2.1972,6.5902,27.5293,1.0
600039.SH,2013,0.4094,-0.3665,-0.03,24.2595,0.8656,1.4672,0.1275,0.4485,2.3026,5.9431,27.6653,1.0
600039.SH,2014,0.2519,-1.0885,-0.01,24.5135,0.8361,1.257,0.128,0.3258,2.3979,6.8597,27.775,1.0
600039.SH,2015,0.6623,0.6736,-0.03,24.6779,0.8408,1.9851,0.1272,0.5646,2.4849,11.4806,27.8581,1.0
600039.SH,2017,0.3920,-0.4388,0.01,24.874,0.8325,1.346,0.0968,0.6103,2.6391,2.1043,28.1093,1.0
600048.SH,2012,0.7893,1.3209,-0.16,25.9963,0.7843,1.4141,0.2184,0.7446,1.7918,1.5055,27.832,1.0
600048.SH,2013,0.8243,1.5460,-0.11,26.2494,0.7819,1.7721,0.2295,0.6046,1.9459,2.0702,28.0328,1.0
600048.SH,2014,0.7307,0.9983,-0.12,26.4725,0.7797,0.8516,0.2165,0.6642,2.0794,3.2735,28.1994,1.0
