600020.SH,2016-12-31,-0.01,24.582,0.7439,1.2661,0.0542,0.6189,2.5649,1.9568,28.2937,1.0
600020.SH,2017-12-31,0.01,24.6019,0.7459,0.8212,0.0969,0.6131,2.6391,2.5653,28.3887,1.0
600021.SH,2008-12-31,-0.04,23.8861,0.5634,1.669,-0.2494,0.0946,1.6094,2.3775,27.3999,1.0
600021.SH,2009-12-31,-0.02,24.0395,0.7524,0.9222,0.0688,0.7414,1.7918,2.3201,27.7114,1.0
600021.SH,2010-12-31,0.01,24.2269,0.7277,1.3713,0.0313,0.7128,1.9459,0.9484,27.8702,1.0
600021.SH,2011-12-31,0.12,24.1908,0.7266,0.9716,0.0797,0.7303,2.0794,1.1325,27.9919,1.0
600021.SH,2012-12-31,0.01,24.1765,0.7181,1.136,0.1375,0.7745,2.1972,0.665,28.0938,1.0
600021.SH,2013-12-31,0.02,24.1754,0.6817,0.9881,0.1579,0.7621,2.3026,1.1456,28.163,1.0
600021.SH,2014-12-31,0.05,24.2801,0.6722,0.8641,0.1496,0.7308,2.3979,2.4874,28.2295,1.0
600021.SH,2015-12-31,0.02,24.5807,0.6973,1.1662,0.1331,0.735,2.4849,7.3544,28.3018,1.0
600021.SH,2016-12-31,0.03,24.6743,0.697,1.9997,0.0877,0.751,2.5649,1.231,28.4038,1.0
600021.SH,2017-12-31,0.02,24.7406,0.7146,1.6386,0.0698,0.3952,2.6391,1.0299,28.4807,1.0
600022.SH,2008-12-31,-0.02,23.5718,0.6757,4.9088,0.1074,0.5043,1.3863,4.0635,28.4325,1.0
600022.SH,2009-12-31,0.18,24.0488,0.737,1.0524,0.0095,0.7256,1.6094,6.2293,28.5638,1.0
600022.SH,2010-12-31,0.07,24.0903,0.7539,2.3052,0.0118,0.699,1.7918,0.878,28.7565,1.0
600022.SH,2011-12-31,-0.05,24.2135,0.7799,1.5348,0.0073,0.713,1.9459,2.46,28.9243,1.0
600022.SH,2012-12-31,-0.14,24.1262,0.7585,1.4837,-0.291,0.7447,2.0794,0.8929,29.0215,1.0
600022.SH,2013-12-31,0.03,24.6973,0.7574,1.0919,0.0122,0.7367,2.1972,0.6557,29.1419,1.0
600022.SH,2014-12-31,0.09,24.6659,0.7467,0.823,-0.1136,0.7377,2.3026,1.9079,29.2376,1.0
600022.SH,2015-12-31,0.01,24.5726,0.7516,1.7215,0.0046,0.7768,2.3979,4.8271,29.3287,1.0
600022.SH,2016-12-31,0.01,24.6988,0.5662,1.133,-0.0364,0.765,2.4849,1.5862,29.4517,1.0
600022.SH,2017-12-31,0.11,24.7199,0.5841,0.9302,0.1132,0.568,2.5649,3.0351,29.5575,1.0
600026.SH,2008-12-31,0.01,23.8848,0.3151,6.1937,0.2774,0.8444,1.7918,4.7478,27.5324,1.0
600026.SH,2009-12-31,0.01,24.1221,0.28,1.2059,0.0496,0.8343,1.9459,2.6552,27.6207,1.0
600026.SH,2010-12-31,0.01,24.2476,0.3623,2.0133,0.0781,0.7776,2.0794,1.5386,27.8191,1.0
600026.SH,2011-12-31,0.03,24.4297,0.4328,1.3714,0.0456,0.7763,2.1972,0.6914,27.9256,1.0
600026.SH,2012-12-31,0.02,24.6666,0.5282,0.7222,0.0031,0.7608,2.3026,0.4788,28.0095,1.0
600026.SH,2013-12-31,-0.03,24.7813,0.5785,0.5925,-0.1027,0.7608,2.3979,0.9337,28.0823,1.0
600026.SH,2014-12-31,-0.01,24.7981,0.6225,0.7385,0.0146,0.7594,2.4849,1.6932,28.1413,1.0
600026.SH,2015-12-31,-0.03,24.9091,0.6556,1.1183,0.0078,0.6802,2.5649,6.5444,28.1981,1.0
600026.SH,2016-12-31,-0.11,24.9483,0.6121,1.164,0.0653,0.6641,2.6391,2.4623,28.2937,1.0
600026.SH,2017-12-31,0.01,24.7841,0.5274,0.8625,0.0638,0.6494,2.7081,1.6358,28.3887,1.0
600027.SH,2008-12-31,-0.00,24.9092,0.7231,2.6785,-0.1921,0.5683,1.0986,2.1537,27.3999,1.0
600027.SH,2009-12-31,0.04,25.1617,0.8173,1.2849,0.0974,0.2073,1.3863,2.9803,27.7114,1.0
600027.SH,2010-12-31,0.04,25.3332,0.7925,1.5002,0.0132,0.2298,1.6094,0.5064,27.8702,1.0
600027.SH,2011-12-31,0.05,25.5742,0.8312,0.8922,0.0049,0.2736,1.7918,0.7799,27.9919,1.0
600027.SH,2012-12-31,0.03,25.723,0.8406,0.8113,0.0798,0.3266,1.9459,0.5953,28.0938,1.0
600027.SH,2013-12-31,-0.00,25.8266,0.832,0.9608,0.1972,0.2515,2.0794,1.1649,28.163,1.0
600027.SH,2014-12-31,0.00,25.8755,0.8059,0.6365,0.2188,0.756,2.1972,1.8845,28.2295,1.0
600027.SH,2015-12-31,-0.01,25.9611,0.7716,1.3686,0.21,0.7819,2.3026,4.632,28.3018,1.0
600027.SH,2016-12-31,0.01,26.0543,0.7295,1.1209,0.0793,0.7294,2.3979,0.8557,28.4038,1.0
600027.SH,2017-12-31,0.04,26.0709,0.7314,0.81,0.0102,0.757,2.4849,0.6985,28.4807,1.0
600028.SH,2008-12-31,0.02,27.3005,0.5458,5.5872,0.0924,0.7933,1.9459,1.8941,28.5448,1.0
600028.SH,2009-12-31,-0.04,27.3463,0.5335,1.5964,0.1725,0.9662,2.0794,1.4259,28.7227,1.0
600028.SH,2010-12-31,-0.02,27.4877,0.5377,2.7143,0.1743,0.9554,2.1972,0.2129,28.8521,1.0
600028.SH,2011-12-31,0.01,27.6163,0.5406,1.4796,0.1593,0.9591,2.3026,0.1389,29.0064,1.0
600028.SH,2012-12-31,0.02,27.7533,0.5491,1.2034,0.128,0.9586,2.3979,0.1011,29.136,1.0
600028.SH,2013-12-31,0.02,27.852,0.5586,1.0972,0.1224,0.9571,2.4849,0.1505,29.2254,1.0
600028.SH,2014-12-31,0.01,27.9552,0.5493,0.8582,0.0814,0.9374,2.5649,0.3561,29.2829,1.0
600028.SH,2015-12-31,0.00,28.0035,0.5541,1.1248,0.0504,0.9294,2.6391,1.2624,29.3028,1.0
600028.SH,2016-12-31,-0.02,27.9978,0.4556,0.7306,0.0668,0.9412,2.7081,0.2645,29.3381,1.0
600028.SH,2017-12-31,0.01,28.0356,0.4445,0.7717,0.0714,0.9522,2.7726,0.3025,29.3693,1.0
600029.SH,2008-12-31,0.01,25.1355,0.8218,6.8553,-0.5124,0.0622,1.6094,8.8536,27.5324,1.0
600029.SH,2009-12-31,-0.01,25.1421,0.8862,1.8327,0.0437,0.2942,1.7918,10.4656,27.6207,1.0
600029.SH,2010-12-31,0.05,25.2744,0.8601,2.9226,0.3874,0.8411,1.9459,6.9224,27.8191,1.0
600029.SH,2011-12-31,0.05,25.4349,0.7283,2.6381,0.1722,0.71,2.0794,1.889,27.9256,1.0
600029.SH,2012-12-31,0.04,25.5851,0.7088,1.121,0.0815,0.727,2.1972,1.1997,28.0095,1.0
600029.SH,2013-12-31,0.06,25.6826,0.7221,0.9173,0.0567,0.6861,2.3026,0.937,28.0823,1.0
600029.SH,2014-12-31,0.04,25.8301,0.7444,0.6147,0.0509,0.6585,2.3979,2.1042,28.1413,1.0
600029.SH,2015-12-31,0.01,25.9687,0.7666,1.0022,0.1033,0.6817,2.4849,7.0431,28.1981,1.0
600029.SH,2016-12-31,0.01,25.9504,0.7338,1.4965,0.1228,0.6798,2.5649,2.6753,28.2937,1.0
600029.SH,2017-12-31,0.05,26.0239,0.7271,1.0853,0.1284,0.7526,2.6391,2.4677,28.3887,1.0
600031.SH,2008-12-31,0.04,23.1373,0.5485,11.2108,0.233,0.7792,1.6094,2.2238,28.4325,0.0
600031.SH,2009-12-31,-0.04,23.36,0.5572,3.3706,0.2937,0.8612,1.7918,2.0524,28.5638,0.0
600031.SH,2010-12-31,-0.07,23.4856,0.4769,6.6114,0.5467,0.6938,1.9459,2.4363,28.7565,0.0
600031.SH,2011-12-31,0.19,24.1682,0.6197,9.1875,0.5596,0.6971,2.0794,1.5656,28.9243,0.0
600031.SH,2012-12-31,-0.03,24.6611,0.5955,4.5884,0.2664,0.6901,2.1972,1.037,29.0215,0.0
600031.SH,2013-12-31,-0.03,24.8893,0.6182,3.2672,0.1219,0.59,2.3026,1.0889,29.1419,0.0
600031.SH,2014-12-31,-0.04,24.8801,0.6084,1.9552,0.0295,0.5486,2.3979,1.849,29.2376,0.0
600031.SH,2015-12-31,-0.07,24.8666,0.6073,3.0724,0.006,0.5227,2.4849,5.8565,29.3287,0.0
600031.SH,2016-12-31,-0.09,24.8379,0.6141,2.1208,0.0089,0.567,2.5649,1.177,29.4517,0.0
600031.SH,2017-12-31,-0.14,24.8432,0.619,1.9796,0.0869,0.5271,2.6391,2.2813,29.5575,0.0
600033.SH,2008-12-31,-0.00,22.5621,0.2851,3.1263,0.2082,0.146,1.9459,5.6256,27.5324,1.0
