600039.SH,2017,0.3920,-0.4388,0.01,24.874,0.8325,1.346,0.0968,0.6103,2.6391,2.1043,28.1093,1.0
600050.SH,2017,0.3817,-0.4824,0.04,27.1464,0.6257,0.6722,0.0049,0.6582,2.7081,2.1016,27.4795,1.0
600052.SH,2017,0.3227,-0.7415,-0.14,22.2255,0.5442,2.998,0.0862,0.4641,2.9957,1.5966,29.0781,0.0
600055.SH,2017,0.1903,-1.4480,0.17,21.5131,0.1568,3.7682,0.06,0.4154,2.9957,2.628,29.5575,0.0
600056.SH,2017,0.2573,-1.0601,-0.01,23.6948,0.6064,2.6465,0.177,0.7709,2.9957,1.393,29.5575,1.0
600057.SH,2017,0.3639,-0.5584,-0.01,24.247,0.6756,1.224,0.0904,0.7338,2.9957,1.4098,25.4649,1.0
600058.SH,2017,0.3443,-0.6440,-0.02,23.9456,0.7934,3.1495,0.0069,0.6868,2.9957,1.7489,28.0242,1.0
600063.SH,2017,0.4500,-0.2008,0.09,22.8881,0.5819,2.0916,0.0192,0.3666,2.9957,2.4769,29.5575,1.0
600064.SH,2017,0.4840,-0.0638,0.02,23.946,0.5842,1.24,0.0953,0.4668,2.9957,1.476,29.0781,1.0
600066.SH,2017,0.1784,-1.5270,0.12,24.283,0.6109,3.1706,0.2215,0.7378,2.9957,1.7237,29.5575,0.0
600067.SH,2017,0.3309,-0.7041,0.15,23.7127,0.6109,1.3814,0.0847,0.4292,2.9957,2.0976,29.0781,0.0
600070.SH,2017,0.2821,-0.9340,0.11,22.0199,0.3509,2.2068,0.0725,0.29,2.9957,2.2399,29.5575,0.0
600071.SH,2017,0.2584,-1.0543,0.16,20.6828,0.4879,11.4932,0.0824,0.4829,2.9957,2.4294,29.5575,1.0
600072.SH,2017,0.1361,-1.8480,0.05,23.1372,0.6392,3.1653,0.0084,0.4359,2.9957,11.7444,28.1093,1.0
600073.SH,2017,0.5228,0.0914,-0.05,23.1711,0.5552,2.0875,0.0821,0.4364,2.9957,2.4041,29.5575,1.0
600075.SH,2017,0.2612,-1.0400,-0.01,22.8665,0.4965,2.0126,0.1314,0.5505,2.9957,5.6199,29.5575,1.0
600076.SH,2017,0.2491,-1.1033,0.00,22.0115,0.1925,3.3165,0.1475,0.1972,2.9957,4.4744,29.5575,0.0
600079.SH,2017,0.2495,-1.1015,0.07,23.9977,0.5466,2.1412,0.1743,0.4811,2.9957,2.3055,29.5575,0.0
600080.SH,2017,0.2897,-0.8967,0.07,21.0907,0.2564,3.5711,0.0488,0.2949,2.9957,2.7683,29.5575,0.0
600088.SH,2017,0.4431,-0.2285,0.22,21.0311,0.2227,6.87,0.078,0.6237,2.9957,1.181,24.9917,1.0
600091.SH,2017,0.2243,-1.2406,0.28,20.9563,0.2955,5.9069,0.0063,0.237,2.9957,2.7513,29.5575,0.0
600093.SH,2017,0.2617,-1.0370,0.23,23.214,0.4434,2.4226,0.1266,0.3949,2.9957,2.8671,25.4649,0.0
600095.SH,2017,0.3176,-0.7650,-0.07,20.836,0.324,6.1688,0.0286,0.2156,2.9957,6.6117,29.5575,0.0
600096.SH,2017,0.4096,-0.3656,-0.01,24.9387,0.9248,2.4622,0.0495,0.6415,2.9957,2.0308,29.5575,1.0
600097.SH,2017,0.2101,-1.3244,0.07,21.2749,0.5243,5.3334,0.1402,0.6092,2.9957,4.5137,24.4528,1.0
600098.SH,2017,0.2264,-1.2286,-0.03,24.2876,0.4775,1.6576,0.0438,0.795,2.9957,1.4455,28.4807,1.0
600099.SH,2017,0.2984,-0.8548,0.05,20.1969,0.1971,8.7458,0.0041,0.4337,2.9957,4.7102,29.5575,1.0
600100.SH,2017,0.2411,-1.1466,-0.01,24.777,0.5738,1.6717,0.0048,0.2606,2.9957,2.0691,29.5575,1.0
600101.SH,2017,0.2780,-0.9546,-0.06,21.7598,0.2955,1.9667,0.0484,0.3669,2.9957,4.5585,28.4807,1.0
600105.SH,2017,0.4297,-0.2831,0.04,22.1402,0.3106,3.4333,0.111,0.4572,2.9957,1.9787,29.5575,0.0
600106.SH,2017,0.2683,-1.0030,0.03,22.6473,0.4908,1.8245,0.0796,0.3382,2.9957,2.997,28.3887,0.0
600107.SH,2017,0.3928,-0.4355,0.11,20.8938,0.5177,11.9095,0.0085,0.2359,2.9957,3.5047,29.5575,0.0
600108.SH,2017,0.3749,-0.5114,0.02,22.7769,0.3923,2.3507,0.0206,0.2989,2.9957,2.4123,24.4528,1.0
600110.SH,2017,0.1422,-1.7972,0.02,22.4598,0.6228,5.725,0.0965,0.154,2.9957,7.3401,29.5575,0.0
600112.SH,2017,0.2398,-1.1539,-0.14,21.7066,0.5687,4.8489,0.017,0.2199,2.9957,4.8515,29.5575,0.0
600113.SH,2017,0.4231,-0.3102,0.03,20.6377,0.3773,12.0995,0.1551,0.5022,2.9957,6.257,25.4649,1.0
600114.SH,2017,0.2253,-1.2350,0.13,21.7638,0.1487,3.0376,0.1248,0.5213,2.5649,2.553,29.5575,0.0
600115.SH,2017,0.1582,-1.6720,0.09,26.0706,0.7615,1.6796,0.1264,0.7999,2.9957,2.1298,28.3887,1.0
600116.SH,2017,0.3126,-0.7879,0.05,22.2605,0.4693,3.8012,0.1325,0.5269,2.9957,4.6442,28.4807,1.0
600117.SH,2017,0.1444,-1.7791,-0.01,24.0217,0.8673,1.6319,0.0206,0.5198,2.9957,7.4153,29.5575,1.0
600118.SH,2017,0.2054,-1.3530,0.15,23.1081,0.4703,6.4231,0.0816,0.5946,2.9957,1.747,29.5575,1.0
600119.SH,2017,0.3817,-0.4824,-0.26,21.7967,0.5787,4.9656,-0.1118,0.4072,2.9444,8.8732,28.3887,1.0
600120.SH,2017,0.2708,-0.9904,0.04,23.1452,0.4087,2.194,0.0776,0.5614,2.9957,3.5686,28.0242,1.0
600121.SH,2017,0.4022,-0.3962,0.16,23.0924,0.6528,1.4911,0.2044,0.6428,2.9444,2.2935,29.3693,1.0
600122.SH,2017,0.2523,-1.0866,-0.07,23.6733,0.539,1.5953,0.0726,0.4438,2.9444,2.495,28.0242,0.0
600125.SH,2017,0.3364,-0.6796,0.02,22.739,0.3294,2.0954,0.0644,0.3726,2.9444,8.94,28.3887,1.0
