600055.SH,2011,0.0664,-2.6427
600055.SH,2012,0.7006,0.8502
600055.SH,2013,0.2669,-1.0105
600055.SH,2014,0.0712,-2.5684
600055.SH,2015,0.5533,0.2142
600055.SH,2016,0.0330,-3.3786
600055.SH,2017,0.1903,-1.4480
600056.SH,2008,0.7567,1.1348
600056.SH,2009,0.4524,-0.1909
600056.SH,2010,0.0607,-2.7385
600056.SH,2011,0.0272,-3.5786
600056.SH,2012,0.1999,-1.3869
600056.SH,2013,0.2861,-0.9144
600056.SH,2014,0.4011,-0.4010
600056.SH,2015,0.6037,0.4211
600056.SH,2016,0.0231,-3.7423
600056.SH,2017,0.2573,-1.0601
600057.SH,2008,0.5140,0.0561
600057.SH,2009,0.2485,-1.1068
600057.SH,2011,0.0789,-2.4573
600057.SH,2012,0.5130,0.0520
600057.SH,2013,0.2303,-1.2067
600057.SH,2014,0.0566,-2.8135
600057.SH,2015,0.6480,0.6103
600057.SH,2016,0.0011,-6.7987
600057.SH,2017,0.3639,-0.5584
600058.SH,2008,0.7427,1.0602
600058.SH,2009,0.4589,-0.1646
600058.SH,2010,0.0145,-4.2159
600058.SH,2011,0.0088,-4.7268
600058.SH,2012,0.2909,-0.8908
600058.SH,2013,0.6906,0.8028
600058.SH,2014,0.4511,-0.1964
600058.SH,2015,0.6456,0.5997
600058.SH,2016,0.0091,-4.6912
600058.SH,2017,0.3443,-0.6440
600059.SH,2008,0.6928,0.8130
600059.SH,2009,0.6155,0.4704
600059.SH,2010,0.1207,-1.9858
600059.SH,2011,0.1802,-1.5153
600059.SH,2012,0.4912,-0.0354
600059.SH,2013,0.3505,-0.6169
600059.SH,2014,0.4338,-0.2663
600059.SH,2015,0.5996,0.4039
600059.SH,2016,0.0057,-5.1610
600059.SH,2017,0.5869,0.3510
600060.SH,2008,0.8268,1.5630
600060.SH,2009,0.2662,-1.0142
600060.SH,2010,0.0036,-5.6126
600060.SH,2011,0.0261,-3.6198
600060.SH,2012,0.4412,-0.2363
600060.SH,2013,0.3039,-0.8289
600060.SH,2014,0.3442,-0.6446
600060.SH,2015,0.5713,0.2871
600060.SH,2016,0.0199,-3.8965
600060.SH,2017,0.1219,-1.9742
600062.SH,2008,0.4663,-0.1350
600062.SH,2009,0.3314,-0.7019
600062.SH,2010,0.0425,-3.1154
600062.SH,2011,0.0202,-3.8821
600062.SH,2012,0.4157,-0.3404
600062.SH,2013,0.1835,-1.4928
600062.SH,2014,0.1510,-1.7264
600062.SH,2015,0.7326,1.0078
600062.SH,2016,0.0039,-5.5327
600062.SH,2017,0.0960,-2.2419
600063.SH,2008,0.8630,1.8403
600063.SH,2009,0.4697,-0.1213
600063.SH,2010,0.0156,-4.1433
600063.SH,2011,0.0276,-3.5616
600063.SH,2012,0.4152,-0.3426
600063.SH,2013,0.5508,0.2037
600063.SH,2014,0.0459,-3.0343
600063.SH,2015,0.7340,1.0151
600063.SH,2016,0.0135,-4.2918
600063.SH,2017,0.4500,-0.2008
600064.SH,2008,0.8613,1.8258
600064.SH,2009,0.8388,1.6493
600064.SH,2010,0.0115,-4.4561
600064.SH,2011,0.0015,-6.5007
600064.SH,2012,0.7473,1.0843
600064.SH,2013,0.7105,0.8979
600064.SH,2014,0.4951,-0.0196
600064.SH,2015,0.4833,-0.0669
600064.SH,2016,0.0126,-4.3641
600064.SH,2017,0.4840,-0.0638
600066.SH,2008,0.6724,0.7189
600066.SH,2009,0.5337,0.1349
600066.SH,2010,0.0044,-5.4159
600066.SH,2011,0.0160,-4.1212
600066.SH,2012,0.2449,-1.1261
600066.SH,2013,0.1987,-1.3945
600066.SH,2014,0.1869,-1.4700
600066.SH,2015,0.2604,-1.0440
600066.SH,2016,0.0101,-4.5833
600066.SH,2017,0.1784,-1.5270
600067.SH,2008,0.8623,1.8341
600067.SH,2009,0.7463,1.0787
600067.SH,2010,0.0335,-3.3628
600067.SH,2011,0.0008,-7.1866
